PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
-0.4,0.1,0.4,-0.413017129,0.448360893,0.792710137,69.95755245,1
-0.4,0.2,-0.3,-0.723879245,0.604229783,-0.333024336,77.002405,1
-0.4,0.2,-0.2,-0.770246586,0.627524424,-0.113724643,76.44849135,1
-0.4,0.2,-0.1,-0.813857051,0.571495208,0.105023465,75.24020774,1
-0.4,0.2,0,-0.760296412,0.579726014,0.293030909,74.99228301,1
-0.4,0.2,0.1,-0.695068607,0.534968535,0.480300217,74.08392328,1
-0.4,0.2,0.2,-0.576982711,0.647744742,0.497511508,72.64143065,1
-0.4,0.2,0.3,-0.531626306,0.645640926,0.548198199,71.78567905,1
-0.4,0.2,0.4,-0.536680921,0.503072723,0.677415253,69.78704744,1
-0.3,-0.4,-0.3,-0.867064729,-0.494824871,-0.057854147,78.25376473,1
-0.3,-0.4,-0.2,-0.568270171,-0.740275318,-0.359251257,76.62085647,1
-0.3,-0.4,-0.1,-0.649485608,-0.757001806,-0.071531185,76.58722179,1
-0.3,-0.4,0,-0.580825537,-0.791178569,0.191515447,75.03126026,1
-0.3,-0.4,0.1,-0.611288278,-0.696065485,0.376589275,73.50474499,1
-0.3,-0.4,0.2,-0.467094486,-0.61581737,0.634501149,71.26475277,1
-0.3,-0.4,0.3,-0.310901096,-0.33436533,0.889685526,70.09804867,1
-0.3,-0.4,0.4,-0.372996619,-0.18073032,0.910060478,68.92188094,1
-0.3,-0.3,-0.3,-0.801338447,-0.47112438,-0.368644153,78.46692415,1
-0.3,-0.3,-0.2,-0.749419501,-0.612398772,-0.251670728,78.544398,1
-0.3,-0.3,-0.1,-0.889856619,-0.456240046,-0.000465666,77.24621963,1
-0.3,-0.3,0,-0.723882579,-0.630545284,0.280011886,76.83157302,1
-0.3,-0.3,0.1,-0.69614673,-0.551247411,0.45989784,75.01691486,1
-0.3,-0.3,0.2,-0.65136627,-0.4026378,0.643121127,71.62983072,1
-0.3,-0.3,0.3,-0.492727042,-0.205208974,0.845641377,69.47875039,1
-0.3,-0.3,0.4,-0.382818816,-0.068144926,0.921306693,67.99023767,1
-0.3,-0.2,-0.3,-0.800755538,-0.270331793,-0.534519681,79.89706802,1
-0.3,-0.2,-0.2,-0.904263829,-0.323082117,-0.279150271,80.38461786,1
-0.3,-0.2,-0.1,-0.712778925,-0.700753514,0.029844884,79.61292745,1
-0.3,-0.2,0,-0.790055865,-0.520681308,0.323577974,77.84487275,1
-0.3,-0.2,0.1,-0.701846217,-0.436126662,0.563209927,75.3936431,1
-0.3,-0.2,0.2,-0.566350338,-0.286687419,0.772695035,73.57504546,1
-0.3,-0.2,0.3,-0.361235119,-0.086602804,0.928444475,71.07791025,1
-0.3,-0.2,0.4,-0.578313336,0.173991118,0.797045028,67.8066222,1
-0.3,-0.1,-0.3,-0.830517658,-0.015976681,-0.556763114,81.60125425,1
-0.3,-0.1,-0.2,-0.859266974,-0.041737776,-0.509821758,81.61226072,1
-0.3,-0.1,-0.1,-0.987030316,-0.154390593,-0.043985237,80.94680395,1
-0.3,-0.1,0,-0.89493652,-0.169243009,0.412850372,78.92063192,1
-0.3,-0.1,0.1,-0.808242308,-0.084619844,0.582738238,76.51166991,1
-0.3,-0.1,0.2,-0.791932836,0.104855219,0.601537834,75.59193546,1
-0.3,-0.1,0.3,-0.475057858,0.215173265,0.853241172,70.3082367,1
-0.3,-0.1,0.4,-0.537593492,0.229934566,0.81124801,67.90684081,1
-0.3,0,-0.3,-0.847067753,0.211736846,-0.487487158,82.61914524,1
-0.3,0,-0.2,-0.916071164,0.291575929,-0.27531273,82.35952048,1
-0.3,0,-0.1,-0.996757151,0.079485538,-0.012539162,79.73613478,1
-0.3,0,0,-0.915905271,0.100378267,0.388640885,79.07381161,1
-0.3,0,0.1,-0.813144085,0.220309974,0.538758027,76.98358526,1
-0.3,0,0.2,-0.718617829,0.465390594,0.516720439,74.65721307,1
-0.3,0,0.3,-0.491679701,0.403301831,0.771750416,72.05944813,1
-0.3,0,0.4,-0.520122631,0.414429262,0.746807094,68.56765851,1
-0.3,0.1,-0.3,-0.665479045,0.574425325,-0.476626884,79.49187322,1
-0.3,0.1,-0.2,-0.819636854,0.529690317,-0.218228312,79.89468509,1
-0.3,0.1,-0.1,-0.871984909,0.480690841,0.092620918,78.34007997,1
-0.3,0.1,0,-0.797227249,0.477601578,0.369222758,77.35907595,1
-0.3,0.1,0.1,-0.695368236,0.473236716,0.540841961,76.17177639,1
-0.3,0.1,0.2,-0.60347626,0.60347626,0.521184043,75.16005,1
-0.3,0.1,0.3,-0.55279008,0.53654924,0.637603357,72.2075527,1
-0.3,0.1,0.4,-0.41476385,0.553379445,0.722317201,69.65397877,1
-0.3,0.2,-0.3,-0.622244455,0.676424051,-0.394033428,77.84678175,1
-0.3,0.2,-0.2,-0.703318988,0.697950141,-0.134937027,77.47240208,1
-0.3,0.2,-0.1,-0.722697058,0.686360334,0.081353887,76.9492674,1
-0.3,0.2,0,-0.655438944,0.655438944,0.375232704,76.13220038,1
-0.3,0.2,0.1,-0.577028045,0.66138887,0.479169488,74.71799189,1
-0.3,0.2,0.2,-0.478328575,0.710659597,0.515911534,74.6640171,1
-0.3,0.2,0.3,-0.384033749,0.658881433,0.646833315,71.23200784,1
-0.3,0.2,0.4,-0.425802871,0.65570064,0.623497061,70.48398367,1
-0.2,-0.4,-0.3,-0.524489572,-0.705166581,-0.477127637,77.55934331,1
-0.2,-0.4,-0.2,-0.536995429,-0.789801718,-0.296393581,77.58580128,1
-0.2,-0.4,-0.1,-0.467144004,-0.881480425,0.06905607,76.92277057,1
-0.2,-0.4,0,-0.3215639,-0.907269574,0.27103243,76.38860749,1
-0.2,-0.4,0.1,-0.457253223,-0.755097066,0.469838175,73.77269722,1
-0.2,-0.4,0.2,-0.296061587,-0.614357047,0.731377437,72.32768455,1
-0.2,-0.4,0.3,-0.294267122,-0.345322932,0.891155954,70.3231752,1
-0.2,-0.4,0.4,-0.074038794,-0.18242988,0.980427252,69.71900137,1
-0.2,-0.3,-0.3,-0.369725572,-0.637933275,-0.675532485,79.01942527,1
-0.2,-0.3,-0.2,-0.574423123,-0.673875485,-0.464682586,80.66842889,1
-0.2,-0.3,-0.1,-0.556920407,-0.829386359,-0.044248471,79.62627768,1
-0.2,-0.3,0,-0.496573112,-0.778538917,0.38378679,78.05076062,1
-0.2,-0.3,0.1,-0.498181357,-0.716135701,0.488840457,75.06732511,1
-0.2,-0.3,0.2,-0.355407273,-0.475552814,0.804695713,72.52730804,1
-0.2,-0.3,0.3,-0.333635567,-0.223743734,0.915765281,70.04357558,1
-0.2,-0.3,0.4,-0.211209606,-0.048627328,0.976230447,69.1081478,1
-0.2,-0.2,-0.3,-0.557770433,-0.293951783,-0.776198746,82.11151798,1
-0.2,-0.2,-0.2,-0.756048536,-0.500435844,-0.421846628,82.94968744,1
-0.2,-0.2,-0.1,-0.743753225,-0.668310409,-0.013868571,82.5764201,1
-0.2,-0.2,0,-0.652143668,-0.623384054,0.431394202,81.09418679,1
-0.2,-0.2,0.1,-0.462723509,-0.595182528,0.656996737,77.52979727,1
-0.2,-0.2,0.2,-0.231468331,-0.341770929,0.910832061,73.79018184,1
-0.2,-0.2,0.3,-0.06774136,-0.043838073,0.99673935,70.34842152,1
-0.2,-0.2,0.4,-0.267470447,0.094610557,0.958910007,68.46882045,1
-0.2,-0.1,-0.3,-0.66922217,-0.2301618,-0.706517681,83.32571953,1
-0.2,-0.1,-0.2,-0.839660844,-0.116596635,-0.530447822,86.79948183,1
